   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
LaSalle Outpatient,,118 Sterling Street,La Salle,IL,61301,,La Salle,815-224-1249,,,815-993-1116,http://,41.329047,-89.087166,SA
Bethany Christian Servs of Georgia Inc,,6645 Peachtree Dunwoody Road NE,Atlanta,GA,30328,,Fulton,770-455-7111,,,,http://www.bethany.org/,33.9366166,-84.3528675,SA
AIDS Resource Center of Wisconsin,Behavioral Health and Wellness Ctr,600 Williamson Street,Madison,WI,53703,,Dane,608-252-6540,,,,http://www.arcw.org,43.0770369,-89.3743277,SA
ARC Community Services Inc,ARC House,202 North Paterson Street,Madison,WI,53703,,Dane,608-283-6430,,,,http://arccommserv.com/,43.0838,-89.375676,SA
Woodstock Treatment Center LLC,,270 Heritage Walk,Woodstock,GA,30188,,Cherokee,678-494-5700,,,800-639-7827,http://www.800-newstart.com/,34.0842722,-84.5251766,SA
Georgia Appalachian Profess Servs Inc,GAPS Counseling,4595 Towne Lake Parkway,Woodstock,GA,30189,,Cherokee,706-768-6695,,,,http://www.Gapsga.com,34.1285857,-84.5748797,SA
Epiphany Center,,1775 Parker Road SE,Conyers,GA,30094,6676,Rockdale,404-419-6546 x2,,404-419-6546 x3,,http://www.epiphanycenterga.com,33.6433414,-84.0235028,SA
North Central Behavioral Health Sys,,2960 Chartres Street,La Salle,IL,61301,,La Salle,815-224-1610,,,,http://www.ncbhs.org,41.3580378,-89.1051452,SA
Northside Hospital Behav Hlth Servs,,6105 Peachtree Dunwoody Road,Atlanta,GA,30328,,Fulton,404-851-8960,,,,http://www.northside.com,33.9213152,-84.3508277,SA
Madison West Comprehensive Trt Ctr,,151 East Badger Road,Madison,WI,53713,,Dane,608-729-8723,,,800-797-6237,http://www.acadiahealthcare.com,43.0379646,-89.3830074,SA
Visions of New Hope LLC,,5300 Memorial Drive,Stone Mountain,GA,30083,,DeKalb,404-254-4500,,,,http://www.vonhscga.com,33.79835,-84.221692,SA
Hope Haven Inc,North Bay Lodge,3602 Memorial Drive,Madison,WI,53704,,Dane,608-249-2600,,,,http://www.hopehavenhelps.org,43.1311776,-89.4037696,SA
Rebos Chris Farley House,,810 West Olin Avenue,Madison,WI,53715,,Dane,608-255-5922,,,608-441-3240,http://www.hopehavenhelps.org,43.0607,-89.3992,SA
UnityPoint Health Meriter/NewStart,Addiction Med Consult and Eval Servs,202 South Park Street,Madison,WI,53715,,Dane,608-417-6000,,,608-417-8144,http://www.meriter.com,43.0660369,-89.4019315,SA
ARC Community Services Inc,Healthy Beginnings,1409 Emil Street,Madison,WI,53713,2388,Dane,608-283-6426,,,,http://www.arccommserv.com,43.036622,-89.406394,SA
ARC Community Services Inc,ARC Center for Women and Children,1409 Emil Street,Madison,WI,53713,,Dane,608-283-6426,,,,http://www.arccommserv.com,43.03661556,-89.4071011,SA
Alliance Recovery Center Conyers,,3430 Highway 20,Conyers,GA,30013,,Rockdale,770-922-4482,,,,http://www.alliancerecoverycenter.com,33.5976141,-84.0144807,SA
MH Comprehensive Services LLC,,3103 Clairmont Road,Atlanta,GA,30329,,DeKalb,678-302-1945,,678-302-1945 x102,,http://www.mhcservices.net,33.8494525,-84.312255,SA
HopeQuest Ministry Group Inc,,5345 Crossroads Drive,Acworth,GA,30102,,Cherokee,678-391-5950,,,,http://www.hopequestgroup.org,34.0849939,-84.581599,SA
William S Middleton Veterans Hosp,Addictive Disorders Trt Program,2500 Overlook Terrace,Madison,WI,53705,,Dane,608-280-7073,,,608-256-1901,http://www.va.gov,43.0742986,-89.4309948,SA
Pauquette Center for,Psychological Services,2901 Hunters Trail,Portage,WI,53901,,Columbia,608-742-5518,,,,http://www.pauquette.com,43.569277,-89.463744,SA
Georgia Health Partners LLC,,5280 Snapfinger Park Drive,Decatur,GA,30035,4044,DeKalb,678-359-4656 x1001,,678-389-4656 x1001,,http://,33.7054551,-84.1737634,SA
Assertive Community Recovery LLC,,4151 Memorial Drive,Decatur,GA,30032,,DeKalb,404-508-0078,,,,http://www.assertiverecovery.com,33.7691948,-84.2501143,SA
STAND Inc,,4319 Covington Highway,Decatur,GA,30035,,DeKalb,404-288-4668,,,,http://www.standinc.com,33.7488787,-84.2273613,SA
Marvelous Light Consultants LLC,,4319 Covington Highway,Decatur,GA,30035,1206,DeKalb,404-286-0054,,,,http://www.mlccounselingservices.com,33.748879,-84.227446,SA
DeKalb Addiction Clinic,,455 Winn Way,Decatur,GA,30030,,Dekalb,404-508-6430,,,404-892-4646,http://www.dekcsb.org,33.787789,-84.27827,SA
Recovery Consultants of Atlanta Inc,,3423 Covington Drive,Decatur,GA,30032,,DeKalb,404-289-0313,,,,http://www.recoveryconsultants.org,33.7610948,-84.2487437,SA
DeKalb Community Service Board,DeKalb Regional Crisis Center,450 Winn Way,Decatur,GA,30030,,Dekalb,404-894-3836,,404-892-4646,,http://www.dekcsb.org,33.787255,-84.279355,SA
Fraser Counseling Center,,203 Mary Lou Drive,Hinesville,GA,31313,,Liberty,912-369-7777,,,,http://www.frasercenter.com,31.8491141,-81.5756794,SA
Warnecke Professional Counseling,,2050 Roswell Road,Marietta,GA,30062,,Cobb,678-784-4293,,,770-309-3171,http://www.wpcounseling.com,33.966807,-84.490293,SA
Care and Counseling Center of Georgia,,1814 Clairmont Road,Decatur,GA,30033,,DeKalb,404-636-1457 x406,,404-636-1457 x505,,http://www.cccgeorgia.org,33.8075742,-84.3105589,SA
Newport Intergrated Behav Hlthcare,,1810 Moseri Road,Decatur,GA,30032,,DeKalb,404-289-8223 x234,Intakes,404-289-8223 x231,866-314-8287,http://www.nibhinc.com,33.7381925,-84.2317901,SA
Alliance Recovery Center,,1116 East Ponce De Leon Avenue,Decatur,GA,30030,,DeKalb,404-377-7669,,,,http://www.alliancerecoverycenter.com/,33.7768022,-84.2800131,SA
Darsey Black and Associates,,101 East Memorial Drive,Hinesville,GA,31313,,Liberty,912-876-4010,,,,http://www.darseyblackandassociates.com,31.8498641,-81.595064,SA
Veterans Affairs Medical Center,Substance Abuse Treatment Program,1670 Clairmont Road,Decatur,GA,30033,,DeKalb,404-321-6111 x1598,,404-321-6111 x6900,,http://www.mentalhealth.va.gov/res-vatreatmentprograms.asp,33.8017072,-84.3117153,SA
Connections Counseling,,5005 University Avenue,Madison,WI,53705,,Dane,608-233-2100 x0,,,,http://www.connectionscounseling.com,43.0749785,-89.4659493,SA
Sinnissippi Centers Inc,,100 Jefferson Street,Oregon,IL,61061,,Ogle,815-732-3157,,,,http://www.sinnissippi.org,42.013211,-89.328799,SA
LaFayette Outpatient Clinic,,501 Mize Street,La Fayette,GA,30728,,Walker,706-638-5591,Intakes,800-715-4225,706-806-1222,http://www.lmcs.org,34.705684,-85.28566,SA
Synapse LLC,,3495 Piedmont Road NE,Atlanta,GA,30305,,Fulton,404-848-9333,,,,http://www.thesynapsesystem.com,33.8522318,-84.3753813,SA
Bloomington Normal Treatment Ctr,,303 Landmark Drive,Normal,IL,61761,,McLean,309-808-2388,,,,http://www.riverwoodgroup.com,40.5159191,-88.9553385,SA
Journey Mental Health Center,Outpatient Services Substance Abuse,25 Kessel Court,Madison,WI,53711,,Dane,608-280-2700,,608-280-2720,,http://journeymhc.org/clinic-based-services/,43.0479953,-89.4793058,SA
Traime Behavioral Health Inc,,2759 Delk Road,Marietta,GA,30067,,Cobb,678-419-0222,,,,http://www.traimebehavioralhealth.com,33.923889,-84.4727347,SA
Advanced Counseling Evaluation,Treatment and DUI Services,705 East Lincoln Street,Normal,IL,61761,,McLean,309-808-1017,,,,http://www.acetduirservices.com,40.5206329,-88.9721271,SA
Lutheran Social Services,,6314 Odana Road,Madison,WI,53719,,Dane,608-277-0610,,,,http://www.lsswis.org,43.0543722,-89.4889097,SA
Cumberland Heights ,Outpatient Services of Hermitage,3441 Lebanon Pike,Hermitage,TN,37076,,Davidson,615-352-1757,Intakes,615-356-2700,800-646-9998,http://www.cumberlandheights.org,36.1893839,-86.625084,SA
Creative Intervention Inc,,3114 Cherokee Street,Kennesaw,GA,30144,,Cobb,770-627-3550,,,,http://,34.029542,-84.608625,SA
Hope Springs Wellness and Recovery,,17 A  Felton Place,Cartersville,GA,30120,,Bartow,678-213-7645,,,,http://www.hopespringswellnessandrecovery.com,34.1946134,-84.7925172,SA
Tristar Skyline Madison Campus,,500 Hospital Drive,Madison,TN,37115,,Davidson,615-769-5000 x5036,,877-342-1450,,http://www.tristarskylinemadison.com,36.25404,-86.684991,SA
Cobb/Douglas Cnty Comm Servs Board,Hartmann Center,729 Lawrence Street,Marietta,GA,30060,,Cobb,770-971-7801,,770-422-0202,,http://www.cobbcsb.com,33.9533969,-84.5306151,SA
UnityPoint Health Meriter/NewStart,Outpatient Services,1015 Gammon Lane,Madison,WI,53719,,Dane,608-417-8144,,,,http://www.meriter.com,43.0435802,-89.5029459,SA
ProActive Institute,,1830 Water Place,Atlanta,GA,30339,,Cobb,678-501-4928,,,770-319-7468,http://www.proactive-institute.com,33.9087887,-84.4859414,SA
Transitional Family Services Inc,,1830 Water Place,Atlanta,GA,30339,,Cobb,770-916-9031,,,770-621-0469,http://,33.907395,-84.485565,SA
Toxicology Associates/North Georgia,,1700 Cumberland Point Drive SE,Marietta,GA,30067,,Cobb,770-612-8264,,,,http://,33.9104147,-84.4921859,SA
Hope Springs Wellness and Recovery,,800 Kennesaw Avenue,Marietta,GA,30060,,Cobb,678-213-7645,,,,http://www.HopeSpringsWellnessandRecovery.com,33.9760686,-84.566405,SA
TLB Treatment Services,,4306 Donna Way,Lithonia,GA,30038,,DeKalb,470-268-8427,,,,http://,33.657969,-84.201381,SA
Treatment Center of Kennesaw,,1735 Tuscan Heights Boulevard,Kennesaw,GA,30152,,Cobb,770-426-7810,,,,http://www.tcaclinics.com/,34.0006134,-84.5989715,SA
Koinonia Residential Treatment Ctr,,1991 Winnebago Street,Rhinelander,WI,54501,,Oneida,715-362-5745,,,800-864-3009,http://www.koinoniaocs.net,45.6485591,-89.3827905,SA
IL Institute for Addiction Recovery at,Advocate BroMenn Medical Center,1304 Franklin Avenue,Normal,IL,61761,,McLean,309-888-0993,,,800-522-3784,http://www.addictionrecov.org,40.496466,-88.9911266,SA
Premiere Transitional Services Inc,,3330 Cumberland Boulevard,Atlanta,GA,30339,,Cobb,678-638-6610,,,,http://www.premieretsi.com,33.87413,-84.458308,SA
Marriage and Family Solutions LLC,,7818 Big Sky Drive,Madison,WI,53719,,Dane,608-203-6267 x1,,,,http://www.marriagesolutionsmadison.com,43.0589147,-89.5190254,SA
Oswald Counseling Associates,,2450 Vineyard Drive,Plover,WI,54467,,Portage,715-342-0290,,,,http://www.oswaldcounselingassociates.com,44.453,-89.5393,SA
Cumberland Heights,Outpatients Services of Smyrna,1450 Sam Davis Road,Smyrna,TN,37167,,Rutherford,615-356-2700,Intakes,800-646-9998,615-690-4554,http://www.cumberlandheights.org,35.9852263,-86.4968311,SA
Family Center,,8025 Excelsior Drive  ,Madison,WI,53717,,Dane,608-663-6154,,,,http://www.thefamilycenter.info,43.0769168,-89.5268016,SA
Cartersville Comprehensive Trt Ctr,,218 Stonewall Street,Cartersville,GA,30120,,Bartow,770-415-8504,,,,http://www.cartersvillectc.com,34.1645135,-84.7913146,SA
ABC Unlimited Inc,,409 West Washington Street,Bloomington,IL,61701,,McLean,309-820-6757,,,,http://www.abcunlimited.org,40.47977,-88.997163,SA
Centerstone,,620 South Gallatin Road,Madison,TN,37115,,Davidson,615-460-4300,,615-460-4357,,http://www.centerstone.org/,36.2571411,-86.7149747,SA
Human Service Center of,Forest Oneida and Vilas Counties,705 East Timber Drive,Rhinelander,WI,54501,,Oneida,715-369-2215 x3910,Intakes,715-369-2215,800-236-8787,http://www.thehumanservicecenter.org,45.64427,-89.397626,SA
Chestnut Health Systems Inc,,720 West Chestnut Street,Bloomington,IL,61701,2814,McLean,309-557-1400,Intakes,309-827-6026,888-924-3786,http://www.chestnut.org,40.485271,-89.00155,SA
Life of Purpose Trt Middle Tennessee,,1800 South Rutherford Boulevard,Murfreesboro,TN,37130,,Rutherford,888-787-7673,,,615-892-0838,http://www.lifeofpurposetreatment.com/,35.812435,-86.3642818,SA
Foundations Atlanta,,1708 Peachtree Street NW,Atlanta,GA,30309,,Fulton,877-345-3396,Intakes,404-270-1014,404-270-1015,http://www.foundationsrecoverynetwork.com/outpatient-treatment/foundations-atlanta-midtown/,33.8003943,-84.3932325,SA
Volunteer Behavioral Healthcare,The Guidance Center,2126 Thompson Lane,Murfreesboro,TN,37129,,Rutherford,615-898-0771,,877-567-6051,,http://www.vbhcs.org/,35.8796817,-86.4222717,SA
Devereux Advanced Behavioral Hlth,,1291 Stanley Road NW,Kennesaw,GA,30152,,Cobb,770-427-0147,,,,http://,33.9871792,-84.6089899,SA
Cumberland Heights ,Outpatient Services of Murfreeboro,745 South Church Street,Murfreesboro,TN,37130,,Rutherford,615-352-1757,Intakes,615-356-2700,800-646-9998,http://www.cumberlandheights.org,35.8380134,-86.3905807,SA
Healthy Choice Center LLC,,1 North Main Street,Madisonville,KY,42431,1962,Hopkins,270-825-2070,,,270-584-4480,http://,37.3477198,-87.4983057,SA
Transitions Center LLC,,22 North Pelham Street,Rhinelander,WI,54501,,Oneida,715-365-6696,,,,http://,45.63806386,-89.40993563,SA
JourneyPure at the River,,5080 Florence Road,Murfreesboro,TN,37129,,Rutherford,615-907-5037 x2012,Intakes,888-601-0982,615-606-7123,http://journeypureriver.com,35.9271795,-86.4674025,SA
Ministry Koller Behavioral Health,,1020 Kabel Avenue,Rhinelander,WI,54501,3918,Oneida,715-361-2805,,,,http://www.ministryhealth.org,45.62851,-89.412879,SA
Options Counseling Services LLC,,158 South Anderson Street,Rhinelander,WI,54501,,Oneida,715-369-7300,,,,http://www.optionscs.net,45.6357571,-89.4120843,SA
Guidance Center,,131 Mayfield Drive,Smyrna,TN,37167,,Rutherford,615-459-9251,,877-567-6051,,http://www.vbhcs.org/,35.9783851,-86.511103,SA
Chestnut Health Systems Inc,,1003 Martin Luther King Jr Drive,Bloomington,IL,61701,,McLean,309-827-6026,,,888-924-3786,http://www.chestnut.org,40.4907531,-89.0219849,SA
Fulton County Alcohol and Drug,Treatment Center CHR,265 Boulevard NE,Atlanta,GA,30312,,Fulton,404-613-1650,,,,http://www.fultoncountyga.gov,33.7616005,-84.3715145,SA
Pineland BHDD,Tattnall Counseling Center,150 Memorial Drive,Reidsville,GA,30453,,Tattnall,912-557-6794,,,,http://www.pinelandcsb.org,32.0836939,-82.1075038,SA
Saint Judes Recovery Center Inc,Detox,151 Renaissance Parkway,Atlanta,GA,30308,,Fulton,404-874-2224,,404-249-6272,,http://www.stjudesrecovery.org,33.768395,-84.382454,SA
Saint Judes Recovery Center Inc,Womens Residence,500 Piedmont Street,Atlanta,GA,30308,,Fulton,404-874-2224 x242,Intakes,404-249-6272,404-874-2224,http://www.stjudesrecovery.org,33.7681479,-84.382418,SA
Saint Judes Recovery Center Inc,Day Outpatient Program,139 Renaissance Parkway NE,Atlanta,GA,30308,,Fulton,404-874-2224,,404-249-6272,,http://www.stjudesrecovery.org,33.7681997,-84.3828687,SA
Malinda Graham and Associates Inc,,1518 Airport Road,Hinesville,GA,31313,,Liberty,912-559-5536,,,,http://www.mgacommunityservices.com,31.798382,-81.645215,SA
Saint Judes Recovery Center Inc,Mens Residence,95 Renaissance Parkway,Atlanta,GA,30308,,Fulton,404-874-2224,,404-249-6272,,http://www.stjudesrecovery.org,33.7684002,-84.3842346,SA
Covenant Community Inc,,623 Spring Street NW,Atlanta,GA,30308,,Fulton,404-267-4305,,404-267-4305 x1,,http://www.covenantatlanta.org,33.7717138,-84.3886796,SA
Road to Recovery Inc,Smyrna,815 Windy Hill Road,Smyrna,GA,30080,,Cobb,770-437-0050,,,770-220-2885,http://www.rdtorecovery.com,33.8944177,-84.5298762,SA
Bradford Health Services,Manchester Outreach/Coffee,1601 McArthur Street,Manchester,TN,37355,,Coffee,800-464-0824,,,931-728-4442,http://www.bradfordhealth.com,35.455374,-86.091781,SA
Lutheran Social Services of Illinois,Nachusa Lutheran Home,1261 Illinois Route 38,Nachusa,IL,61057,,Lee,815-284-7796,,,,http://www.lssi.org,41.8316,-89.3897,SA
Ministry Behavioral Health,Residential Treatment Center,201 Prentice Street North,Stevens Point,WI,54481,,Portage,715-345-0711,,,,http://www.ministryhealth.org,44.5331,-89.5772999,SA
Ministry Behavioral Health,,209 Prentice Street North,Stevens Point,WI,54481,,Portage,715-344-4611,,,,http://www.ministryhealth.org,44.5357089,-89.57757579,SA
Southwestern Behav Healthcare Inc,Posey Regional Services,309 North Sawmill Street,Mount Vernon,IN,47620,,Posey,812-838-6558,,,,http://www.southwestern.org,37.9334827,-87.8866724,SA
Saint Judes Recovery Center Inc,Family Care Center,1650 Alma Street,Atlanta,GA,30318,,Fulton,404-917-1000 x102,Intakes,404-249-6272,404-874-2224,http://www.stjudesrecovery.org,33.80386,-84.442349,SA
American Alternative Court Services,(AACS Atlanta),99 Peachtree Street SW,Atlanta,GA,30303,,Fulton,404-594-1770,,,,http://www.aacsatlanta.com,33.7521064,-84.3925729,SA
Ridgeview Institute,,3995 South Cobb Drive SE,Smyrna,GA,30080,,Cobb,770-434-4567 x3200,,,800-329-9775,http://www.ridgeviewinstitute.com,33.8568076,-84.5145843,SA
Caring Works Inc,Hope House,275 Washington Street,Atlanta,GA,30303,,DeKalb,404-564-4181,,,,http://www.caringworksinc.org,33.7472279,-84.3910234,SA
Buffalo Valley Inc,,105 Oak Valley Drive,Nashville,TN,37207,,Davidson,615-262-2237,,,800-447-2766,http://www.buffalovalley.org,36.2316738,-86.7598585,SA
Centerstone,Luton Mental Health Services,1921 Ransom Place,Nashville,TN,37217,,Davidson,615-279-6700,,888-291-4357,,http://www.centerstone.org/,36.0876875,-86.6515454,SA
WestCare Georgia,,827 Pryor Street SW,Atlanta,GA,30315,,Fulton,404-761-7485 x37100,,404-761-7485,,http://www.westcare.com/,33.7321835,-84.3939753,SA
Heartland Human Services,,1200 North 4th Street,Effingham,IL,62401,,Effingham,217-347-7179,,,,http://www.heartlandhs.org,39.136679,-88.54203,SA
Diel Counseling Inc,,444 South Willow Street,Effingham,IL,62401,,Effingham,217-347-7384,,,,http://www.DIELCOUNSELING.com,39.1173983,-88.5364693,SA
Extended Wellness,,604 North Broad Foot Drive,Vidalia,GA,30474,,Toombs,912-537-8745,,,,http://www.georgiamethadone.org,32.2181941,-82.3953381,SA
Bradford Health Services,Nashville Outreach,1410 Donelson Pike,Nashville,TN,37217,,Davidson,615-457-8335,,615-902-9191,,http://www.bradfordhealth.com,36.0961357,-86.6789877,SA
Health Connect America,,1321 Murfreesboro Pike,Nashville,TN,37217,,Davidson,615-656-0227,,,,http://www.heatlhconnectamerica.com,36.1146835,-86.6957427,SA
Pineland BHDD,Toombs Counseling Center,204 Durden Street,Vidalia,GA,30474,4608,Toombs,912-537-9316,,,,http://www.pinelandcsb.org,32.215547,-82.4104824,SA
Park Center East,,948 Woodland Street,Nashville,TN,37206,,Davidson,615-242-3576,,,,http://www.parkcenternashville.org,36.176294,-86.752807,SA
Step One Recovery Center,Community Mental Hlth of Middle GA,600 North Jefferson Street,Dublin,GA,31021,,Laurens,478-275-6811 x1247,Intakes,478-272-1190,478-275-6854,http://www.csbmg.com,32.5450428,-82.9080898,SA
Samaritan Recovery Community Inc,,319 South 4th Street,Nashville,TN,37206,,Davidson,615-244-4802 x19,Intakes,615-244-4802 x10,615-244-4802 x11,http://www.samctr.org,36.16907209,-86.76493805,SA
New Day Treatment Center Inc,,2563 Martin Luther King Jr Drive,Atlanta,GA,30311,,Fulton,404-699-7774,,,,http://www.newdaytreatmentcenter.com,33.75388,-84.471687,SA
Underdue Social Services Inc,,165 Burke Street,Stockbridge,GA,30281,,Henry,770-389-9886,,,,http://,33.5475054,-84.2340425,SA
Genesis Treatment Center,,1022 Hillcrest Parkway,Dublin,GA,31021,,Laurens,478-272-5020,,,,http://,32.5458535,-82.9348526,SA
Preferred Treatment Center LLC,,1101 Hillcrest Parkway,Dublin,GA,31021,,Laurens,478-274-8426,,478-274-8428,,http://GeorgiaMethadone.org,32.5466883,-82.9381346,SA
Renewal House Inc,,- - -,Nashville,TN,37228,,Davidson,615-255-5222,Intakes,615-255-5222 x114,615-255-5222 x102,http://www.renewalhouse.org,36.196041,-86.799436,SA
Foundations Nashville,,101 Lea Avenue,Nashville,TN,37210,,Davidson,615-370-6880,,,,http://www.foundationsrecoverynetwork.com/outpatient-treatment/foundations-nashville-tennessee/,36.1557062,-86.7700533,SA
Wausau Comp Treatment Center,,210 Washington Street,Wausau,WI,54403,,Marathon,715-942-7954,,,,http://www.wausauctc.com,44.9592092,-89.6290864,SA
North Central Healthcare Facilities,,1100 Lakeview Drive,Wausau,WI,54403,,Marathon,715-848-4600,,,,http://www.norcen.org,44.92961615,-89.63313938,SA
Peaceful Solutions Counseling,,741 North 1st Street,Wausau,WI,54403,,Marathon,715-675-3458,,,,http://www.peacefulsolutions.org,44.9628128,-89.6299316,SA
Adult Education Associates,,748 Timbercreek Road,Dixon,IL,61021,,Lee,815-284-3940,,,,http://www.adulteducationassociates.com,41.87356754,-89.48938439,SA
Quentin Price MD,Crisis Stabilization Unit,118 Thomas Lane,Dublin,GA,31021,,Laurens,478-275-6811 x1180,Intakes,478-272-1190,800-868-5423,http://www.csbmg.com,32.5303541,-82.9268658,SA
Butts County Counseling Center,,463 Ernest Biles Drive,Jackson,GA,30233,,Butts,770-358-5252,,,,http://WWW.MCTRAIL.ORG,33.2975342,-83.94946577,SA
A and E Behavioral Healthcare,Associates PC,2570 East Federal Drive,Decatur,IL,62526,,Macon,217-872-1003,,,,http://www.aecounseling.com,39.8884932,-88.9201486,SA
Veterans Affairs Medical Center,Substance Abuse Treatment Program,1826 Veterans Boulevard,Dublin,GA,31021,,Laurens,478-272-1210 x3111,,478-272-1210 x2635,,http://www.dublin.va.gov/,32.5363977,-82.9431819,SA
United Neighborhood Health Services,,526 8th Avenue South,Nashville,TN,37203,,Davidson,615-227-3000,,,,http://www.neighborhoodhealthtn.org,36.152339,-86.779189,SA
Person to Person Consulting,,35 Atlanta Street,McDonough,GA,30253,2162,Henry,770-898-1155,,,,http://www.person-person.com,33.4489772,-84.1467762,SA
Nashville CARES,,633 Thompson Lane,Nashville,TN,37204,,Davidson,800-845-4266,,,615-259-4866,http://,36.110568,-86.754027,SA
Southside Behavioral Lifestyle,Enrichment Center,1100 Cleveland Avenue,Atlanta,GA,30344,,Fulton,404-627-1385 x6883,Intakes,404-627-1385,404-564-6827,http://www.southsidemedical.net,33.681448,-84.42556,SA
Atlanta Psychotherapy LLC,,831 Fairways Court,Stockbridge,GA,30281,,Henry,770-389-1925,,,,http://,33.504976,-84.220389,SA
MBA Wellness Centers LLC,,1233 Eagles Landing Parkway,Stockbridge,GA,30281,,Henry,770-474-4009,,,,http://mbawellnesscenters.com,33.507845,-84.226014,SA
South Georgia Treatment Inc,,794 McDonough Road,Jackson,GA,30233,,Butts,770-775-9044,,,770-775-9043,http://,33.3011709,-83.9754612,SA
STARS Nashville TX/Recovery,,1704 Charlotte Avenue,Nashville,TN,37203,,Davidson,615-279-0058,,615-983-6803,,http://www.stars-yoda.org,36.158616,-86.799007,SA
Lloyd C Elam Mental Health Center,Meharry Medical College,1005 Dr D B Todd Jr Boulevard,Nashville,TN,37208,,Davidson,615-327-6606,,,,http://mmc.edu,36.16691,-86.805567,SA
Dix and Gillette Csl Servs LLP,,1720 Merrill Avenue,Wausau,WI,54401,,Marathon,715-675-3888,,,,http://,44.9841353,-89.652778,SA
Next Door Inc,,402 22nd Avenue North,Nashville,TN,37203,,Davidson,615-251-8805,,855-863-4673,,http://www.thenextdoor.org,36.1574333,-86.8071446,SA
Lookout Mountain Community Servs,,11578 Highway 27,Summerville,GA,30747,,Chattooga,706-857-5441,Intakes,800-715-4225,706-806-1134,http://www.lmcs.org,34.498303,-85.332726,SA
VCPHCS IX LLC,BHG Nashville Treatment Center,2410 Charlotte Avenue,Nashville,TN,37203,,Davidson,615-321-2575,,,,http://www.bhgrecovery.com,36.155472,-86.811057,SA
VA Tennessee Valley Healthcare Sys,,1310 24th Avenue South,Nashville,TN,37212,,Davidson,615-327-4751,Intakes,615-225-6820,615-867-6000 x6570,http://www.tennesseevalley.va.gov,36.1416999,-86.803693,SA
Pauquette Center for,Psychological Services,1002 Lincoln Avenue,Baraboo,WI,53913,,Sauk,608-356-9055,,,,http://www.pauquette.com,43.4753886,-89.7211579,SA
Saint Marys Treatment Center,,1800 East Lake Shore Drive,Decatur,IL,62521,,Macon,217-464-2500,,,,http://www.stmaryshospital.org,39.82635152,-88.93189752,SA
Treatment and Recovery Center,St Clare Hospital,1510 Jefferson Street,Baraboo,WI,53913,,Sauk,608-356-1533,,,800-433-2688,http://www.stclare.com,43.480141,-89.727309,SA
Cityside Healthcare,,950 Dannon View,Atlanta,GA,30331,,Fulton,404-941-2650,,,,http://www.citysidehc.com,33.7216997,-84.5084596,SA
Pauquette Center for,Psychological Services,50 Prairie Avenue,Prairie du Sac,WI,53578,,Sauk,608-643-3147,,,608-356-5447,http://www.pauquette.com,43.2823127,-89.7192388,SA
Henry County Counseling Center,,139 Henry Parkway,McDonough,GA,30253,,Henry,770-358-5252 x11626,,770-358-5252,,http://www.mctrail.org,33.4244896,-84.1693472,SA
Prevention and Treatment Servs of,Decatur Inc,235 North Mill Street,Decatur,IL,62523,,Macon,217-330-9587,,,,http://changeisachoice.org,39.8429788,-88.9508878,SA
Heritage Behavioral Health Center,Located at Crossing Healthcare,1029 North Water Street,Decatur,IL,62523,,Macon,217-330-5006,,217-362-6262,,http://www.heritagenet.org,39.8520456,-88.9550778,SA
Pleasant Counseling,,335 East Wood Street,Decatur,IL,62523,1431,Macon,217-422-6908,,,217-855-7828,http://www.pleasantcounseling.com,39.839838,-88.9520842,SA
Green County Human Services,Alcohol and Other Drug Abuse,North 3152,Monroe,WI,53566,,Green,608-328-9393,,608-328-9352,,http://www.gchsd.org,42.60576,-89.665093,SA
Mending Hearts Inc,,4305 Albion Street,Nashville,TN,37209,,Davidson,615-385-1696,,,,http://www.mendingheartsinc.org,36.1608442,-86.8395005,SA
Mending Hearts Inc,,1000 44th Avenue North,Nashville,TN,37209,,Davidson,615-385-1696,,,,http://www.mendingheartsinc.org,36.1612905,-86.8400933,SA
Brick House Foundation,,561 North Church Street,Decatur,IL,62522,,Macon,217-422-0211,,,,http://www.BrickHouseFoundation.org,39.8466699,-88.9577172,SA
Heritage Behavioral Health Center,,151 North Main Street,Decatur,IL,62523,,Macon,217-362-6262,,,,http://www.heritagenet.org,39.841965,-88.955901,SA
DUI Services,,301 West North Street,Decatur,IL,62522,,Macon,217-428-3843,,,,http://,39.84461,-88.958117,SA
Sauk County Dept of Human Services,Substance Use Trt Outpatient Services,505 Broadway Street,Baraboo,WI,53913,,Sauk,608-355-4200,,,,http://,43.470195,-89.744785,SA
Purpose Inc,,5000 Austell Powder Spring Road,Austell,GA,30106,2435,Cobb,770-948-9088,,,,http://,33.8319187,-84.6568862,SA
North Central Healthcare,Merrill Center,607 North Sales Street,Merrill,WI,54452,,Lincoln,715-536-9482,,715-627-6694,,http://www.norcen.org,45.1849714,-89.6727583,SA
Odyssey Family Counseling Center,,1919 John Wesley Avenue,Atlanta,GA,30337,,Fulton,404-762-9190,,,,http://www.odysseycounseling.org,33.65100674,-84.45189448,SA
Changes Place,,773 West Lincoln Boulevard,Freeport,IL,61032,,Stephenson,815-232-1913,,,,http://www.changesplace.com,42.294618,-89.631258,SA
Shelby County Community Servs Inc,,101 East North 12th Street,Shelbyville,IL,62565,9388,Shelby,217-774-1400,,,,http://sccs.il.org,39.4198856,-88.7946126,SA
